sampler,steps,time_s,sec_per_image,fid,conf,entropy
ddim,1000,374.44,2.925,31.0543,0.7385,2.014
ddim,250,90.92,0.71,15.0461,0.7701,2.1596
ddim,100,38.38,0.3,10.8595,0.7642,2.2034
ddim,50,17.58,0.137,10.0721,0.7791,2.2275
ddim,20,8.2,0.064,14.9794,0.7752,2.1966
ddim,10,3.81,0.03,25.2241,0.7844,2.0917
ddpm,1000,371.74,2.904,7.3625,0.7417,2.2491
ddpm,250,93.83,0.733,3.565,0.7517,2.2326
ddpm,100,37.27,0.291,2.2115,0.7691,2.2349
ddpm,50,17.99,0.141,3.1838,0.7611,2.2113
ddpm,20,7.1,0.055,4.5792,0.7776,2.2218
ddpm,10,3.9,0.03,14.6753,0.7746,2.1971
